modalidadeId,srp,anoCompra,sequencialCompra,orgaoSubRogado,orgaoEntidade_cnpj,orgaoEntidade_razaoSocial,orgaoEntidade_poderId,orgaoEntidade_esferaId,dataInclusao,dataPublicacaoPncp,dataAtualizacao,numeroCompra,unidadeOrgao_ufNome,unidadeOrgao_codigoUnidade,unidadeOrgao_nomeUnidade,unidadeOrgao_ufSigla,unidadeOrgao_municipioNome,unidadeOrgao_codigoIbge,amparoLegal_codigo,amparoLegal_descricao,amparoLegal_nome,dataAberturaProposta,dataEncerramentoProposta,informacaoComplementar,processo,objetoCompra,linkSistemaOrigem,justificativaPresencial,unidadeSubRogada,valorTotalHomologado,modoDisputaId,numeroControlePNCP,valorTotalEstimado,modalidadeNome,modoDisputaNome,tipoInstrumentoConvocatorioCodigo,tipoInstrumentoConvocatorioNome,situacaoCompraId,situacaoCompraNome,usuarioNome
8,False,2023,181,,80257355000108,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,E,E,2024-01-03T12:10:00,2024-01-03T12:10:00,2024-01-03T12:10:00,56669,Paraná,55,UEPG - Universidade Estadual de Ponta Grossa,PR,Ponta Grossa,4119905,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",,,,56669/2023,Aquisição de Equipamentos Diversos.,http://www.transparencia.pr.gov.br/,,,,5,80257355000108-1-000181/2023,15261.81,Dispensa,Não se aplica,3,Ato que autoriza a Contratação Direta,1,Divulgada no PNCP,Secretaria de Estado da Administração e da Previdência do Estado do Paraná - SEAP-PR
8,False,2023,182,,80257355000108,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,E,E,2024-01-03T12:10:01,2024-01-03T12:10:01,2024-01-03T12:10:01,56668,Paraná,55,UEPG - Universidade Estadual de Ponta Grossa,PR,Ponta Grossa,4119905,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",,,,56668/2023,Aquisição de Equipamentos Diversos.,http://www.transparencia.pr.gov.br/,,,,5,80257355000108-1-000182/2023,5539.28,Dispensa,Não se aplica,3,Ato que autoriza a Contratação Direta,1,Divulgada no PNCP,Secretaria de Estado da Administração e da Previdência do Estado do Paraná - SEAP-PR
8,False,2023,183,,80257355000108,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,E,E,2024-01-03T12:10:01,2024-01-03T12:10:01,2024-01-03T12:10:01,56667,Paraná,55,UEPG - Universidade Estadual de Ponta Grossa,PR,Ponta Grossa,4119905,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",,,,56667/2023,Aquisição de Equipamentos Diversos.,http://www.transparencia.pr.gov.br/,,,,5,80257355000108-1-000183/2023,5822.67,Dispensa,Não se aplica,3,Ato que autoriza a Contratação Direta,1,Divulgada no PNCP,Secretaria de Estado da Administração e da Previdência do Estado do Paraná - SEAP-PR
8,False,2023,186,,80257355000108,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,E,E,2024-01-05T10:10:01,2024-01-05T10:10:01,2024-01-05T10:10:01,56685,Paraná,55,UEPG - Universidade Estadual de Ponta Grossa,PR,Ponta Grossa,4119905,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",,,,56685/2023,AQUISIÇÃO DE RESINAS,http://www.transparencia.pr.gov.br/,,,,5,80257355000108-1-000186/2023,15117.0,Dispensa,Não se aplica,3,Ato que autoriza a Contratação Direta,1,Divulgada no PNCP,Secretaria de Estado da Administração e da Previdência do Estado do Paraná - SEAP-PR
8,False,2023,187,,80257355000108,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,E,E,2024-01-05T10:10:01,2024-01-05T10:10:01,2024-01-05T10:10:01,56684,Paraná,55,UEPG - Universidade Estadual de Ponta Grossa,PR,Ponta Grossa,4119905,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",,,,56684/2023,AQUISIÇÃO DE BLOCO CERÂMICO,http://www.transparencia.pr.gov.br/,,,,5,80257355000108-1-000187/2023,49379.48,Dispensa,Não se aplica,3,Ato que autoriza a Contratação Direta,1,Divulgada no PNCP,Secretaria de Estado da Administração e da Previdência do Estado do Paraná - SEAP-PR
8,False,2024,2,,02385669000174,FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE,E,M,2024-01-08T09:28:43,2024-01-08T09:28:43,2024-01-18T15:09:00,10104325,Rio de Janeiro,1,FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE,RJ,Rio de Janeiro,3304557,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",2024-01-15T09:00:00,2024-01-26T09:00:00,,10104325,CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE PACOTE OFFICE MICROSOFT 365 LICENÇA VITALÍCIA COM ENTREGA DIGITAL.  ,https://bllcompras.com/Process/ProcessView?param1=[gkz]iW/9yzZPjQ5vToADtIoAZ/GhWS18jhPLXzWGEg_97zFlBLmqKIAuwIAgYWEsCUzxJucV/lpHyBCwCDrJ/oXVOpEVnHmIeD/_bdEKAEq9Vug=,,,,4,02385669000174-1-000002/2024,0.0,Dispensa,Dispensa Com Disputa,2,Aviso de Contratação Direta,1,Divulgada no PNCP,BLL Compras
8,False,2023,308,,79151312000156,UNIVERSIDADE ESTADUAL DE MARINGA,E,E,2024-01-09T16:10:01,2024-01-09T16:10:01,2024-01-09T16:10:01,56710,Paraná,56,UEM - Universidade Estadual de Maringá,PR,Maringá,4115200,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",,,,56710/2023,"AQUISIÇÃO DE MICRÓTOMO ROTATIVO, COM RECURSOS DO CONVÊNIO 01.22.0212.00- FONTE 281.",http://www.transparencia.pr.gov.br/,,,,5,79151312000156-1-000308/2023,66500.0,Dispensa,Não se aplica,3,Ato que autoriza a Contratação Direta,1,Divulgada no PNCP,Secretaria de Estado da Administração e da Previdência do Estado do Paraná - SEAP-PR
8,False,2023,309,,79151312000156,UNIVERSIDADE ESTADUAL DE MARINGA,E,E,2024-01-11T15:10:01,2024-01-11T15:10:01,2024-01-11T15:10:01,56719,Paraná,56,UEM - Universidade Estadual de Maringá,PR,Maringá,4115200,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",,,,56719/2023,"Aquisição de reagentes para o cultivo de bactérias in vitro e extração do DNA,
materiais químicos para realização de analises e soro fetal bovino. ",http://www.transparencia.pr.gov.br/,,,,5,79151312000156-1-000309/2023,8010.0,Dispensa,Não se aplica,3,Ato que autoriza a Contratação Direta,1,Divulgada no PNCP,Secretaria de Estado da Administração e da Previdência do Estado do Paraná - SEAP-PR
8,False,2023,310,,79151312000156,UNIVERSIDADE ESTADUAL DE MARINGA,E,E,2024-01-11T15:10:01,2024-01-11T15:10:01,2024-01-11T15:10:01,56718,Paraná,56,UEM - Universidade Estadual de Maringá,PR,Maringá,4115200,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",,,,56718/2023,"Aquisição de reagentes para o cultivo de bactérias in vitro e extração do DNA,
materiais químicos para realização de analises e soro fetal bovino.",http://www.transparencia.pr.gov.br/,,,,5,79151312000156-1-000310/2023,4892.5,Dispensa,Não se aplica,3,Ato que autoriza a Contratação Direta,1,Divulgada no PNCP,Secretaria de Estado da Administração e da Previdência do Estado do Paraná - SEAP-PR
8,False,2023,311,,79151312000156,UNIVERSIDADE ESTADUAL DE MARINGA,E,E,2024-01-11T15:10:02,2024-01-11T15:10:02,2024-01-11T15:10:02,56717,Paraná,56,UEM - Universidade Estadual de Maringá,PR,Maringá,4115200,24,"Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)","Lei 14.133/2021, Art. 75, IV, c",,,,56717/2023,"Aquisição de reagentes para o cultivo de bactérias in vitro e extração do DNA,
materiais químicos para realização de analises e soro fetal bovino.
",http://www.transparencia.pr.gov.br/,,,,5,79151312000156-1-000311/2023,400.0,Dispensa,Não se aplica,3,Ato que autoriza a Contratação Direta,1,Divulgada no PNCP,Secretaria de Estado da Administração e da Previdência do Estado do Paraná - SEAP-PR
